Sl. No.,State/UT,less than Rs. 1 lakh - Male,less than Rs. 1 lakh - Female,less than Rs. 1 lakh - Transgender,less than Rs. 1 lakh - Total,Rs. 1 lakh & above - less than Rs.5 lakhs - Male,Rs. 1 lakh & above - less than Rs.5 lakhs - Female,Rs. 1 lakh & above - less than Rs.5 lakhs - Transgender,Rs. 1 lakh & above - less than Rs.5 lakhs - Total,Rs. 5 lakhs & above - less than Rs. 10 lakhs - Male,Rs. 5 lakhs & above - less than Rs. 10 lakhs - Female,Rs. 5 lakhs & above - less than Rs. 10 lakhs - Transgender,Rs. 5 lakhs & above - less than Rs. 10 lakhs - Total,Rs. 10 lakhs and above - Male,Rs. 10 lakhs and above - Female,Rs. 10 lakhs and above - Transgender,Rs. 10 lakhs and above - Total,Total - Male,Total - Female,Total - Transgender,Total
1,Andhra Pradesh,3325,1205,2,4532,2797,726,0,3523,520,184,0,704,123,26,0,149,6765,2141,2,8908
2,Arunachal Pradesh,81,29,0,110,25,5,0,30,5,1,0,6,3,0,0,3,114,35,0,149
3,Assam,1479,713,0,2192,694,258,0,952,124,30,0,154,12,10,0,22,2309,1011,0,3320
4,Bihar,186,199,0,385,182,103,0,285,16,14,0,30,2,0,0,2,386,316,0,702
5,Chhattisgarh,3687,1430,0,5117,2221,776,0,2997,217,73,0,290,35,7,0,42,6160,2286,0,8446
6,Goa,93,48,0,141,119,20,0,139,19,2,0,21,1,0,0,1,232,70,0,302
7,Gujarat,4193,2185,2,6380,1878,527,0,2405,185,30,0,215,2,0,0,2,6258,2742,2,9002
8,Haryana,1781,523,0,2304,1075,149,1,1225,172,28,0,200,45,9,0,54,3073,709,1,3783
9,Himachal Pradesh,250,128,0,378,178,37,0,215,37,6,0,43,6,2,0,8,471,173,0,644
10,Jharkhand,981,471,0,1452,421,220,0,641,39,15,0,54,32,2,0,34,1473,708,0,2181
11,Karnataka,6520,2178,1,8699,3462,959,0,4421,328,87,0,415,52,19,0,71,10362,3243,1,13606
12,Kerala,4959,1627,1,6587,2596,429,1,3026,446,72,0,518,30,1,0,31,8031,2129,2,10162
13,Madhya Pradesh,6460,3522,0,9982,3737,1214,0,4951,336,72,0,408,34,11,0,45,10567,4819,0,15386
14,Maharashtra,10232,3119,1,13352,6869,1269,1,8139,978,185,0,1163,88,4,0,92,18167,4577,2,22746
15,Manipur,8,4,0,12,4,6,0,10,4,0,0,4,0,0,0,0,16,10,0,26
16,Meghalaya,140,43,0,183,23,6,0,29,1,0,0,1,0,0,0,0,164,49,0,213
17,Mizoram,54,10,0,64,78,8,0,86,3,0,0,3,0,0,0,0,135,18,0,153
18,Nagaland,21,8,0,29,12,1,0,13,2,1,0,3,4,0,0,4,39,10,0,49
19,Odisha,865,3464,0,4329,1103,392,0,1495,182,134,0,316,0,0,0,0,2150,3990,0,6140
20,Punjab,1423,455,1,1879,406,44,0,450,39,6,0,45,61,6,0,67,1929,511,1,2441
21,Rajasthan,2212,976,0,3188,1449,387,0,1836,237,45,0,282,27,10,0,37,3925,1418,0,5343
22,Sikkim,187,61,0,248,34,5,0,39,4,1,0,5,1,0,0,1,226,67,0,293
23,Tamil Nadu,11725,5216,16,16957,2373,366,0,2739,115,16,0,131,6,1,0,7,14219,5599,16,19834
24,Telangana,3012,810,0,3822,3729,1144,0,4873,946,230,0,1176,82,27,0,109,7769,2211,0,9980
25,Tripura,270,164,0,434,202,41,0,243,32,4,0,36,0,0,0,0,504,209,0,713
26,Uttar Pradesh,3026,2115,0,5141,1931,766,0,2697,260,65,0,325,8,5,0,13,5225,2951,0,8176
27,Uttarakhand,352,144,0,496,176,127,0,303,10,5,0,15,0,0,0,0,538,276,0,814
28,West Bengal,5221,3593,0,8814,2157,708,0,2865,247,206,0,453,400,137,0,537,8025,4644,0,12669
Total (Sates),Total (Sates),72743,34440,24,107207,39931,10693,3,50627,5504,1512,0,7016,1054,277,0,1331,119232,46922,27,166181
29,Andaman and Nicobar Islands,63,27,0,90,64,3,0,67,13,1,0,14,0,0,0,0,140,31,0,171
30,Chandigarh,36,17,0,53,54,23,0,77,1,0,0,1,0,0,0,0,91,40,0,131
31,Dadra and Nicobar Haveli and Daman and Diu,91,52,0,143,52,6,0,58,4,0,0,4,0,0,0,0,147,58,0,205
32,Delhi (UT),1211,449,0,1660,1155,367,0,1522,164,35,0,199,28,8,0,36,2558,859,0,3417
33,Jammu and Kashmir,125,109,0,234,46,28,0,74,11,1,0,12,3,0,0,3,185,138,0,323
34,Ladakh,5,1,0,6,4,0,0,4,2,0,0,2,1,0,0,1,12,1,0,13
35,Lakshadweep,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2
36,Puducherry,357,123,1,481,0,0,0,0,0,0,0,0,0,0,0,0,357,123,1,481
Total (UTs),Total (UTs),1889,778,1,2668,1375,427,0,1802,196,37,0,233,32,8,0,40,3492,1250,1,4743
Total (All India),Total (All India),74632,35218,25,109875,41306,11120,3,52429,5700,1549,0,7249,1086,285,0,1371,122724,48172,28,170924
