Sl. No.,State/UT,Un-Married - Male,Un-Married - Female,Un-Married - Transgender,Un-Married - Total,Married - Male,Married - Female,Married - Transgender,Married - Total,Widowed/Widower - Male,Widowed/Widower - Female,Widowed/Widower - Transgender,Widowed/Widower - Total,Divorcee - Male,Divorcee - Female,Divorcee - Transgender,Divorcee - Total,Separated - Male,Separated - Female,Separated - Transgender,Separated - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Status Not Known - Male,Status Not Known - Female,Status Not Known - Transgender,Status Not Known - Total,Total - Male,Total - Female,Total - Transgender,Total
1,Andhra Pradesh,1540,506,1,2047,4653,1457,0,6110,45,42,0,87,22,10,0,32,44,17,0,61,251,85,1,337,210,24,0,234,6765,2141,2,8908
2,Arunachal Pradesh,39,19,0,58,62,13,0,75,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,11,2,0,13,114,35,0,149
3,Assam,670,378,0,1048,1527,582,0,2109,22,19,0,41,27,12,0,39,49,14,0,63,3,4,0,7,11,2,0,13,2309,1011,0,3320
4,Bihar,144,96,0,240,231,213,0,444,0,1,0,1,0,2,0,2,11,4,0,15,0,0,0,0,0,0,0,0,386,316,0,702
5,Chhattisgarh,1500,726,0,2226,3953,1260,0,5213,184,75,0,259,17,5,0,22,23,20,0,43,142,51,0,193,341,149,0,490,6160,2286,0,8446
6,Goa,82,26,0,108,132,38,0,170,5,5,0,10,2,0,0,2,0,0,0,0,0,0,0,0,11,1,0,12,232,70,0,302
7,Gujarat,1645,865,2,2512,4203,1758,0,5961,87,62,0,149,54,20,0,74,30,4,0,34,0,0,0,0,239,33,0,272,6258,2742,2,9002
8,Haryana,759,217,0,976,1843,405,0,2248,23,10,0,33,4,3,0,7,0,0,0,0,0,0,0,0,444,74,1,519,3073,709,1,3783
9,Himachal Pradesh,124,45,0,169,330,116,0,446,10,7,0,17,3,1,0,4,4,4,0,8,0,0,0,0,0,0,0,0,471,173,0,644
10,Jharkhand,753,327,0,1080,644,329,0,973,26,5,0,31,2,2,0,4,26,37,0,63,9,1,0,10,13,7,0,20,1473,708,0,2181
11,Karnataka,2233,779,1,3013,7438,2188,0,9626,164,118,0,282,67,27,0,94,118,51,0,169,122,34,0,156,220,46,0,266,10362,3243,1,13606
12,Kerala,1533,436,2,1971,6119,1519,0,7638,195,120,0,315,69,29,0,98,81,20,0,101,13,0,0,13,21,5,0,26,8031,2129,2,10162
13,Madhya Pradesh,2613,1459,0,4072,7532,3128,0,10660,103,118,0,221,37,29,0,66,21,23,0,44,129,41,0,170,132,21,0,153,10567,4819,0,15386
14,Maharashtra,4016,1314,1,5331,13461,3056,0,16517,236,109,0,345,114,41,0,155,43,14,1,58,97,7,0,104,200,36,0,236,18167,4577,2,22746
15,Manipur,8,1,0,9,7,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,10,0,26
16,Meghalaya,67,27,0,94,90,16,0,106,2,3,0,5,2,1,0,3,3,2,0,5,0,0,0,0,0,0,0,0,164,49,0,213
17,Mizoram,56,7,0,63,49,9,0,58,9,1,0,10,17,1,0,18,4,0,0,4,0,0,0,0,0,0,0,0,135,18,0,153
18,Nagaland,14,2,0,16,21,6,0,27,0,1,0,1,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,10,0,49
19,Odisha,439,384,0,823,607,2312,0,2919,0,15,0,15,0,1,0,1,0,6,0,6,168,283,0,451,936,989,0,1925,2150,3990,0,6140
20,Punjab,600,137,1,738,1251,367,0,1618,3,1,0,4,13,1,0,14,5,4,0,9,2,0,0,2,55,1,0,56,1929,511,1,2441
21,Rajasthan,989,490,0,1479,2795,876,0,3671,41,20,0,61,31,16,0,47,6,6,0,12,25,2,0,27,38,8,0,46,3925,1418,0,5343
22,Sikkim,89,19,0,108,131,44,0,175,1,3,0,4,0,0,0,0,3,1,0,4,0,0,0,0,2,0,0,2,226,67,0,293
23,Tamil Nadu,3588,1361,14,4963,10396,4092,1,14489,64,102,0,166,23,12,0,35,61,21,0,82,7,4,1,12,80,7,0,87,14219,5599,16,19834
24,Telangana,1574,511,0,2085,5878,1558,0,7436,57,46,0,103,33,33,0,66,58,25,0,83,63,25,0,88,106,13,0,119,7769,2211,0,9980
25,Tripura,111,59,0,170,393,150,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,209,0,713
26,Uttar Pradesh,1415,837,0,2252,3300,1862,0,5162,59,33,0,92,33,20,0,53,18,8,0,26,208,104,0,312,192,87,0,279,5225,2951,0,8176
27,Uttarakhand,184,125,0,309,331,145,0,476,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,23,538,276,0,814
28,West Bengal,1626,1045,0,2671,4227,2513,0,6740,133,77,0,210,50,46,0,96,43,27,0,70,459,324,0,783,1487,612,0,2099,8025,4644,0,12669
Total (States),Total (States),28411,12198,22,40631,81604,30021,1,111626,1476,994,0,2470,624,313,0,937,652,308,1,961,1698,965,2,2665,4767,2123,1,6891,119232,46922,27,166181
29,Andaman and Nicobar Islands,52,6,0,58,84,20,0,104,3,4,0,7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,140,31,0,171
30,Chandigarh,37,17,0,54,53,23,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,91,40,0,131
31,Dadra and Nagar Haveli and Daman and Diu,58,31,0,89,88,26,0,114,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,147,58,0,205
32,Delhi (UT),720,259,0,979,1539,521,0,2060,24,11,0,35,12,7,0,19,27,7,0,34,58,9,0,67,178,45,0,223,2558,859,0,3417
33,Jammu and Kashmir,60,49,0,109,121,78,0,199,0,0,0,0,0,1,0,1,0,0,0,0,3,7,0,10,1,3,0,4,185,138,0,323
34,Ladakh,3,0,0,3,5,1,0,6,0,0,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,12,1,0,13
35,Lakshadweep,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
36,Puducherry,96,29,1,126,217,81,0,298,2,3,0,5,1,0,0,1,0,0,0,0,15,0,0,15,26,10,0,36,357,123,1,481
Total (UTs),Total (UTs),1026,391,1,1418,2109,750,0,2859,29,19,0,48,14,9,0,23,31,7,0,38,76,16,0,92,207,58,0,265,3492,1250,1,4743
Total (All India),Total (All India),29437,12589,23,42049,83713,30771,1,114485,1505,1013,0,2518,638,322,0,960,683,315,1,999,1774,981,2,2757,4974,2181,1,7156,122724,48172,28,170924
